label,text
81,Aanleg en beheer van bloemenweiden
81,Aanleg en beheer van bloemweiden 1 volledige dag
81,aanleg en constructie van parken en tuinen
81,Aanleg en onderhoud van gazon
81,Aanleg en onderhoud van gazon 2 volledige dagen
81,Aanleg en onderhoud van gazon 2d
81,Aanleg en onderhoud van prairietuin 1 volledige dag
81,Aanleg en onderhoud van prairietuin 1d
81,Aanleg en onderhoud van prairietuinen
81,Aanleg en onderhoud van prairietuinen 1d
81,Aanleg en onderhoud van vijvers 2d
81,Aanleg van kasseien 1d
81,Aanleg van verhardingen 3d
81,Aanleggen en onderhoud van vijvers
81,Aanleggen en onderhoud van vijvers 2 volledige dagen
73,Aanleggen en verhardingen (tegels, klinkers, kasseien en waterdoorlaatbare verhardingen) 3d
81,Aanleggen van daktuinen 1 volledige dag
81,Aanleggen van daktuinen 1d
81,Aanleggen van daktuinen 2d
81,Aanleggen van drainagesystemen 1 volledige dag
81,Aanleggen van een moestuin 1 volledige dag
81,Aanleggen van houten terrassen
81,Aanleggen van houten terrassen 1 voll d
73,Aanleggen van kasseien (porfier, platine en mozaiekkasseien) 1 volledige dag
73,Aanleggen van kasseien (porfier, platine en mozaïekkasseien) 1d
73,Aanleggen van natuursteen en grote tuintegels 1 volledige dag
73,Aanleggen van natuursteen en grote tuintegels 1d
73,Aanleggen van verhardingen
73,Aanleggen van verhardingen (tegeks, klinkers, kasseien en waterdoorlaatbare verhardingen) 3 volledige dagen
73,Aanleggen van verhardingen 2 volledige dagen
73,Aanleggen van verhardingen 2d
73,Aanleggen van verhardingen 3 voll d
73,Aanleggen van verhardingen 3 volledige dagen
81,Aanleggen van vijvers 1d
81,Aanleggen van vijvers 2d
81,Aanleggen van vijvers basis 2 volledige dagen
81,Aanleggen van vijvers basis 2d
81,Aanleggen van zwemvijvers
81,Aanleggen van zwemvijvers 2 volledige dagen
81,Aanleggen vangroendaken 1 volledige dag
71,Aanleren van machinebediening in metaalverwerkende bedrijven
73,Aannaaier
73,Aannemer binnenschrijnwerk
73,Aannemer buitenschrijnwerk
73,Aannemer dakbedekking
73,Aannemer dakgebinte
73,Aannemer dichtingswerken
73,Aannemer energiezuinige bouw- en renovatietechnieken
71,Aannemer installateur sanitaire installaties
73,Aannemer interieurbouw
73,Aannemer metsel- en betonwerken
72,Aannemer parket, laminaat en houten vloeren
73,Aannemer pleisterwerken
73,Aannemer regenwateropvang en -afvoer
73,Aannemer schilderwerken
73,Aannemer sloopwerken
73,Aannemer tegelzetten
73,Aannemer van wegenwerken
71,Aansluitingstechnieken onder Laagspanning
73,Aansturen van seizoensarbeiders 1 volledige dag
41,Aanvierlogistiek
41,Aanvoerlogistiek
0,Aanvullende algemene vorming
102,Aanvullende module tot veiligheidscoördinator op tijdelijke of mobiele bouwplaatsen voor preventieadviseurs
102,Aanvullende opleiding niv. II voor preventieadviseurs
102,Aanvullende vormind preventieadviseurs veiligheidskunde II
102,Aanvullende vorming preventieadviseur arbeidsveiligheid niveau 1
102,Aanvullende vorming preventieadviseur niveau 2
102,Aanvullende vorming preventieadviseur niveau II
102,Aanvullende vorming preventieadviseurs arbeidsveiligheid I
102,Aanvullende vorming preventieadviseurs veiligheidskunde II
52,Aanvullende vorming tot milieucoördinator   niveau O (overgangsniveau van B naar A)
52,Aanvullende vorming tot milieucoördinator niveau A
102,Aanvullende vorming tot preventieadviseur van het tweede niveau
52,Aanvullende vorming voor milieucoördinatoren – niv. A via overgangsniveau
52,Aanvullende vorming voor milieucoördinatoren niveau B
102,Aanvullende vorming voor preventieadviseurs - 
multidisciplinaire basisvorming (Franstalig)
102,Aanvullende vorming voor preventieadviseurs – 
Spécialisatie Niveau 2 (Franstalig)
102,Aanvullende vorming voor preventieadviseurs - Specialisatie niveau 1 (Franstalig)
102,Aanvullende vorming voor preventieadviseurs – Specialisatiemodule niveau 1- Psychosociale belasting van de arbeid
102,Aanvullende vorming voor preventieadviseurs “niveau 1” via overgangsniveau
102,Aanvullende vorming voor preventieadviseurs niveau 1
102,Aanvullende vorming voor preventieadviseurs niveau 2
102,Aanvullende vorming voor Preventieadviseurs niveau II
41,Aanvulling tot coördinator
101,Aanvullingstraject (60 studiepunten) bachelor orthopedagogie voor houders van een HBO5 diploma dat 2080 lestijden omvat
101,Aanvullingstraject (60 studiepunten) bachelor orthopedagogie voor houders van een HBO5diploma dat 2080 lestijden omvat
101,Aanvullingstraject (90 studiepunten op 2.5 jaar) bachelor orthopedagogie voor houders van een HBO5diploma dat 1440 lestijden omvat
101,aanvullingstraject (90 studiepunten op 2.5jaar) bachelor orthopedagie voor houders van een HBO5 diploma dat 1440 lestijden omvat
101,Aanvullingstraject bachelor orthopedagogie voor houders van een HBO5 diploma
53,aardwetenschappen
3,AB 0039- Personal Efficiency Program
82,Abattage d'arbres
71,ABB
71,ABB - Elektrisch
71,ABB FAG
71,ABB: ACS 800
71,ABB-ELEKTRISCH
101,abseilen
61,Acces : Création et Gestion d'une base de données
61,Acces base
61,Access - Automatisation
61,Access/SQL
23,Acceuillir et conseiller les clients en Anglais - Module 4
52,Accompagnateur-trice en Millieux Scolaires
91,Accompagnement des étudiants en soins infirmiers ou sages-femmes en stage - le tutorat - module 1
31,Accompagnement psychique autour de la naissance
41,Accounting and Rapportering
23,Accueillir et conseiller les clients en Néerlandais - Module 3
91,Accupunctuur
71,ACET3A60A-07/06-16 A318/A319/A320/A321 (cfm56) EASA Part-66 B1 B2 Theoretical
91,ACT Verdiepingsopleiding
71,ACTEMIUM-REGELAARS-FREQUENTIEDRIVERS ABB
21,acteren en dirigeren
92,ActinPas Zorgmodel
92,Actualisation des pratiques soignantes du secteur extra-hospitalier
92,Actualisation des soins du secteur EXTRA-HOSPITALIER
31,Actualités sociales : « Solidarités, clap de fin ? Quel avenir pour l’action collective et la protection sociale ? »
31,Actualités sociales/FB
91,Actualités thérapeutiques et perspectives nouvelles en neurologie adulte
41,Actuariële wetenschappen
54,actuariële wetenschappen
91,acupunctuur
91,Acupunctuur Opleiding
91,Acupunctuur opleiding (Postgraduaat Hogeschool West-Vlaanderen Howest)
91,Acupunctuur opleiding (ter info:verder zetting van het Post Graduaat Acupunctuur Katholiek Hogeschool Kempen, Campus Lier-nu Thomas More Hogeschool)
91,Acupuntuur
91,Acupuntuuropleiding
101,Adapted Physical Activity (EM)
72,ADM MATERIAL QUALITY
72,Adm material quality (40 u)
61,Administering Microsoft System Center Configuration Manager
61,Administering system center 2012 configuration manager M10747
61,Administering Windows Server 2012
41,administratie
41,ADMINISTRATIE FEDEX
61,administratie van informatietechnologie
41,Administratief bediende
41,Administratief commercieel medewerker binnendienst
41,Administratief vastgoedbediende
41,administratieve diensten
41,Administration Windows Server 2012 ET R2
61,Adobe After Effects - Initiation
61,Adobe After Effects - Initiation aux techniques de Moti
61,Adobe Dreamweaver - Initiation
61,Adobe Dreamweaver - Perfectionnement
61,Adobe Dreamweaver cycle complet avec php
61,Adobe Flash
61,Adobe Illustrator - Initiation
61,Adobe Illustrator - Perfectionnement
61,Adobe InDesign - Initiation
61,Adobe InDesign - Perfectionnement
61,Adobe Photoshop - Initiation
61,Adobe Photoshop Touch - Traitement de l'image matricielle a
61,Adobe Premiere Pro - Initiation
104,ADR
104,ADR Initiële basis en tank opleiding
102,ADR Veiligheidsadviseur
104,ADR-attesten
61,Advanced business management
61,Advanced Business Studies
91,Advanced Dentistry
61,Advanced Object Oriented Programming Techniques in NET
31,Advanced Studies in Economics
23,Advanced Studies in Linguistics
22,Advanced Studies in Theology and Religion
41,Advanced Warehouse Management
41,adverteren
41,Adviserend verkopen: van voorstel tot effectieve verkoop op lange termijn
102,Adviseur arbeidshygiëne
102,Adviseur ergonomie
42,Adviseur payroll en sociale wetgeving
41,Adviseur waterbeheer
80,Afgeknoopte draden
52,Afgevaardigden non-profit in Vlaanderen-residentieel
71,afkoeling
71,Afkortzaag instellen/bedienen
23,Afrikaanse talen en culturen
92,Afstandsleren Professionele Bachelor sociaal werk
92,Afstandsleren sociaal werk (bacheleropleiding)
92,Afstandsleren sociaal werk (bacheloropleiding)
81,Afstellen van ploegen en meststofstrooiers
102,afvalbeheer
102,afvalinzameling
102,afverzameling
72,Afwerkingstechnieken
61,Agile
92,Agogische bijscholing orthopedagogie
71,Agrément RWC-B
92,Agressiecoach
51,Agro- en biotechnologie
81,agronomie
92,Aide familiale
31,Air Transport Economics and Business
31,Air Transport Pricing Strategies
21,Airbrusher
71,Airco-energiedeskundige
71,air-conditioning
71,Airco-technieker
104,Airport Management
41,AIS Administration
61,AJAX - Développement d'applications Web
71,Ajustage
71,Ajustements et tolérances
81,AKKERBOUW
81,Akkerbouw -loonwerk
92,alcohol- en drugmisbruik
71,ALERIS OPERATION SYSTEMS (CONTINU VERBETEREN) AND RELIABILITY
71,ALERIS OPERATION SYSTEMS (CONTINU VERBETEREN) AND RELIABILITY - 120 u
54,algebra
103,Algemeen bekwaamheidsattest bewakingsagent
71,Algemeen onderhoudselektricien
71,Algemeen onderhoudsmecanicien
41,Algemeen ondernemer in motorvoertuigen
0,Algemende vaardigheden
73,Algemene aannemingsactiviteiten
0,Algemene Aard
1,Algemene basisopleiding voor operatoren
41,Algemene boekhouding
61,Algemene computervaardigheden.
31,Algemene economie
42,Algemene en sectorspecifieke sociale wetgeving voor stafmedewerkers HRM
92,Algemene gecentraliseerde vorming "animatorenopleiding, deel 2"
102,Algemene gecentraliseerde vorming "CPBW 1'
11,Algemene gecentraliseerde vorming ‘didactiek voor groepsbegeleiders’
41,Algemene gecentraliseerde vorming 'Ondernemingsraad 1'
41,Algemene gecentraliseerde vorming 'Ondernemingsraad 2'
41,Algemene gecentraliseerde vorming 'secretarissenvorming'
71,ALGEMENE GEDECENTRALISEERDE Basisvorming 2 ABVV - Metaal
91,algemene geneeskunde
23,algemene linguïstiek
23,algemene literatuurstudie
71,Algemene onderhoudstechnieken
70,Algemene opleiding binnen de activiteiten handlin (lossen/schrijven/ompak/stockeren) VCE/P (120u)
70,ALGEMENE OPLEIDING BINNEN DE ACTIVITEITEN KITS PICKING
0,algemene programma's en kwalificaties
1,algemene programma's en kwalificaties
2,algemene programma's en kwalificaties
3,algemene programma's en kwalificaties
9,algemene programma's en kwalificaties
0,Algemene vaardigheden
3,Algemene Vaardigheden Compétences génerales Gesprekstechnieken
0,Algemene Vaardigheden Compétences génerales Interne trainingen
3,Algemene Vaardigheden Compétences génerales Interpersoonlijke communicatie
41,Algemene Vaardigheden Compétences génerales Onthaal en opleiding van nieuwe medewerkers
41,Algemene Vaardigheden Compétences génerales Organisatorische vaardigheden
41,Algemene vaardigheden en arbeidsattituden
41,Algemene vaardigheden en arbeidsattituden (32u of 48u)
41,Algemene vaardigheden en arbeidsattituden en werk, loon, sociale zekerheid
91,algemene verpleegkunde
41,Algemene vorming Themavorming ‘Academy’
42,Algemene vorming Themavorming ‘pioniers in de bres voor sociale rechten’
41,Algemene vorming Themavorming ‘strategisch handelen’ 
31,Algemene vorming Themavorming ‘werknemersvertegenwoordigers in de geglobaliseerde economie’
91,Algologie
71,Alignement laser
23,Allemand
23,Allemand de base
23,Allemand débutant
23,Allemand faux-débutant
23,Allemand moyen
23,Allemand niveau 1
70,Allen Bradley
70,ALLEN-BRADLEY: ControlLogix
70,ALLEN-BRADLEY: Maintenance ControlLogix
70,ALLEN-BRADLEY: SLC
71,Allround audiovisueel technicus
101,Allround grimeur
101,Allround Grimeur- Visagist
21,Allround Signmaker
80,Alternatief onkruidbeheer
71,Aluminium schrijnwerk
71,ALUMINIUMTECHNOLOGIE
71,ALUMINIUMTECHNOLOGIE - 80 u
71,Aluminothermisch Lassen - type PLA
72,Ambachtelijk Chocoladebewerker
72,Ambachtelijke ijsbereider
91,ambulance technologie
92,Ambulant werken in en met opvoedingssituaties
72,Amélioration continue des processus
72,Amélioration des performances des ateliers
72,Amélioration des performances et rentabilité de votre ateli
72,Amélioration des process
11,American Studies
61,Amipro 3.0
61,Amos training (MRO sofware)
22,ANALOGE EN DIGITALE TACHOGRAFEN
41,Analyse de la valeur - Créer de la valeur dans les produits
81,Analyse des circuits hydrauliques (hydr 4)
61,analyse van computersystemen
71,Analyse vibratoire
71,Analyse vibratoire - niveau 1
71,Analyse vibratoire - niveau 2
71,Analyse vibratoire - niveau 3
71,Analyse vibratoire off-line
71,Analyse vibratoire on-line
52,ander milieu
11,ander onderwijs
92,ander welzijn
9,andere algemene programma's en kwalificaties
51,andere biologische wetenschappen en aanverwanten
109,andere diensten
72,andere fabricage en verwerking
53,andere fysische wetenschappen
91,andere gezondheid
41,andere handel en administratie
49,andere handel, administratie en recht
102,andere hygiëne en bedrijfsgeneeskundige diensten
61,andere informatie- en communicatietechnologie (ICT)
32,andere journalistiek en informatie
21,andere kunst
29,andere kunst en menswetenschappen
89,andere land- en bosbouw, visserij en dierengeneeskunde
81,andere landbouw
22,andere menswetenschappen behalve talen
59,andere natuurwetenschappen, wiskunde en statistiek
101,andere persoonlijke diensten
31,andere sociale en gedragswetenschappen
39,andere sociale wetenschappen, journalistiek en informatie
23,andere talen
71,andere techniek en technische beroepen
79,andere techniek, fabricage en constructie
103,andere veiligheidsdiensten
99,andere welzijn en gezondheid
61,Android - Développement
61,Android - Niveau 1
61,Android - Niveau 2
61,Android - Niveau 3
91,anesthesie
23,Anglais
23,Anglais B1
23,Anglais dans l'horeca - Module 2
23,Anglais débutant
23,Anglais moyen
23,Anglais niveau 2
23,Anglais niveau 3
23,Anglais niveau intermédiaire
23,Anglais technique
72,Anglais technique adapté aux métiers du verre- niveau 2
71,Anglais techniqueaéronautique
21,Animateur vidéo
21,Animateurs Candidats (ANI)
21,Animateurs d'équipe syndicale
21,animatie
21,Animation artist
21,Animation d'équipe et citoyenneté participative - niveau 2
21,Animatuers (ANI)
98,Année de spécialisation interdisciplinaire en gériatrie et psycho-gériatrie
53,anorganische chemie
81,ANTEC INDUSTRIELE HYDRAULICA - MICHEL DESCAN
72,Antiekhandelaar
41,Antwerpen Themamodule  Toekomst sociaal model
41,Antwerpen Themamodule : naar een sociaal personeelsbeleid : van werving tot competentiebeleid
41,Antwerpen Themamodule Communicatie met de achterban
31,Antwerpen Themamodule Duurzame Economie
41,Antwerpen Themamodule Overtuigen en Onderhandelen
102,Antwerpen Themamodule Stress op het werk
41,Antwerpen Themamodule Werkbaar Werk
102,Antwerpen:mandaatmodule comité preventie en bescherming 1-3 groepen
41,Antwerpen:mandaatmodule ondernemingsraad 1-3
41,Antwerpen:mandaatmodule ondernemingsraad 2-2 groepen
41,Antwerpen:syndicale afvaardiging 1:3 groepen
91,apotheek
41,Applied Economic Sciences: Business Economics
31,Applied Economic Sciences: Economic Policy
71,Applied Sciences and Engineering: Computer Science
61,App-Ontwikkeling
91,Approfondissement en soins palliatifs
91,Approfondisssement en soins palliatifs
104,Aptitude Professionnel et formation continue des conducteurs de véhicules des catégories C, C + E, D + E et des sous-catégories C1, C1 + E, D1, D1 + E
83,aquacultuur
23,Arabisch richtgraad 1
23,Arabistiek en Islamkunde
91,Arbeidsgeneeskunde
102,Arbeidswelzijn Bien-être au travail Alcohol en drugs / Alcool et drogues
102,Arbeidswelzijn Bien-être au travail Analyse de risques / Risicoanalyse
102,Arbeidswelzijn Bien-être au travail Analyse des accidents de travail dans l’industrie
102,Arbeidswelzijn Bien-être au travail Arbeidsveilig gedrag voor teamleaders en operationele medewerkers
102,Arbeidswelzijn Bien-être au travail ATEX
102,Arbeidswelzijn Bien-être au travail Beleidsmodule over het gebruik en problematisch gebruik van alcohol en drugs op het werk
102,Arbeidswelzijn Bien-être au travail Besloten ruimte / espace confiné
102,Arbeidswelzijn Bien-être au travail Brand
102,Arbeidswelzijn Bien-être au travail Brand Basisopleiding
102,Arbeidswelzijn Bien-être au travail Brand Opvolgmodule
102,Arbeidswelzijn Bien-être au travail Conduite défensive camions
102,Arbeidswelzijn Bien-être au travail Consignation des installations en pratique
102,Arbeidswelzijn Bien-être au travail Defensief rijden / Conduite défensive
102,Arbeidswelzijn Bien-être au travail Eco-drive opleiding (Attitude Eco-Pro-Actief Rijden)
102,Arbeidswelzijn Bien-être au travail Een Gezondheidsproject, iets voor uw onderneming?
102,Arbeidswelzijn Bien-être au travail Eerste hulp bij ongevallen (EHBO) voor bedrijven Opvolgmodule
102,Arbeidswelzijn Bien-être au travail Ergonomie
102,Arbeidswelzijn Bien-être au travail Ergonomie op kantoor / au bureau
102,Arbeidswelzijn Bien-être au travail Ergonomie: tiltechnieken / port de charge
102,Arbeidswelzijn Bien-être au travail Faire passer le message "sécurité"
102,Arbeidswelzijn Bien-être au travail Infomiddag : veilig laden en stuwen
102,Arbeidswelzijn Bien-être au travail Initiatie in het gebruik van kleine blusmiddelen
102,Arbeidswelzijn Bien-être au travail La sécurité lors des interventions de maintenance
102,Arbeidswelzijn Bien-être au travail Omgaan met gevaarlijke producten
102,Arbeidswelzijn Bien-être au travail Persoonlijke beschermingsmiddelen (PBM)
102,Arbeidswelzijn Bien-être au travail Sensibilisatie Arbeidsveiligheid
102,Arbeidswelzijn Bien-être au travail Sensibiliser les collaborateurs à une "alimentation saine"
102,Arbeidswelzijn Bien-être au travail Stofexplosie en Atex-richtlijnen
102,Arbeidswelzijn Bien-être au travail Stress
102,Arbeidswelzijn Bien-être au travail Technische beveiliging van machines
102,Arbeidswelzijn Bien-être au travail Technische keuringen
102,Arbeidswelzijn Bien-être au travail Toolboxmeeting
102,Arbeidswelzijn Bien-être au travail Upgrade voor preventieadviseurs
102,Arbeidswelzijn Bien-être au travail Valbeveiliging
102,Arbeidswelzijn Bien-être au travail Van rookverbod naar een rookbeleid op het werk
102,Arbeidswelzijn Bien-être au travail Veilig omgaan met reinigings- en desinfectiemiddelen
102,Arbeidswelzijn Bien-être au travail Veilig Werken
102,Arbeidswelzijn Bien-être au travail Veiligheid / prévention niveau 3
102,Arbeidswelzijn Bien-être au travail Veiligheidscontroles op hand- en draagbare gereedschappen
90,Arbeidswelzijn Bien-être au travail Welzijn en gezondheid / Bient-être et santé
42,arbeidswetgeving
22,archeologie
22,Archeologie en kunstwetenschappen
32,archiefwetenschap
73,Architectural Engineering
73,architectuur
73,architectuur en constructie
73,architectuur en stadsplanning
73,Architectuurtekenen
3,argumentatie en presentatie
101,Argus
71,ARMATUREN - ELEKTRONISCH TELWERK
92,Armoede en participatie
61,ARO GUN MAINTENANCE
41,Arrimage des charges
50,Artificial Intelligence
84,artificiële inseminatie bij dieren
61,artificiële intelligentie
100,Artisanaal kaarsenmaker
72,ASME Plant Inspector Level 2
72,ASME PLANTINSPECTIOM LEVEL 2
101,Aspirant-sommelier
71,ASS ONDERHOUDSTECHNIEKER - 117U
71,ASSEMBLAGE ACHTERDEUREN VDK -92
71,Assemblage automobile
71,Assemblage industriel
71,Assemblage mécanique par boulons et rivets
71,Assemblage plexi
23,ASSERTIEF COMMUNICEREN
31,Assertiviteit 1 volledige dag
3,assertiviteitstraining
100,Assistent Slager-Spekslager
61,Assistent-operator digitaal printer
23,Assumer sa communication
53,astrofysica
53,astronomie
53,Astronomy and Astrophysics
40,ATLAS
40,Atlas (120u)
40,Atlas opleiding IW (120u)
40,ATLAS.
102,A-traject ergotherapie (professionele bacheleropleiding)
102,A-traject Ergotherapie (Professionele Bacheloropleiding)
103,Attest schietoefening
22,Attest van het volgen van de cursus rooms-katholieke godsdienst voor het basisonderwijs
81,Attest vervoer leven vee - pluimvee
81,Attest vervoer levend vee -  varken
81,Attest vervoer levend vee - paarden
81,Attest vervoer levend vee - pluimvee
81,Attest vervoer levend vee - rund
81,Attest vervoer levend vee- pluimvee
81,Attest vervoer levend vee- varkens
81,Attest vervoer levend vee-pluimvee
81,Attest vervoer levend vee-rund
81,Attest vervoer levend vee-varken
81,Attest vervoer voor levend vee -rund
103,Attestation de compétence générale agent de gardiennage
103,Attestation de recyclage agent de gardiennage
103,Attestation de recyclage personnel dirigeant
102,Attestvernieuwing EHBO basis / nijverheidshelper 1 volledige dag
102,Attestvernieuwing EHBO basis/nijverheidshelper
102,Attestvernieuwing EHBO nijverheidshelper 1d
104,Attestvernieuwing heftruck
104,Attestvernieuwing heftruck 1 volldige dag
104,Attestvernieuwing heftruck 1d
100,Attestvernieuwing hoogtewerker
100,Attestvernieuwing hoogtewerker 1 volledige dag
100,Attestvernieuwing hoogtewerker 1d
100,Attestvernieuwing verreiker 1 volledige dag
100,Attestvernieuwing verreiker 1d
21,Audiovisual Arts
21,Audiovisuele en beeldende kunst
21,Audiovisuele en beeldende kunst (GO)
21,Audiovisuele kunsten
21,Audiovisuele kunsten (GO)
21,audiovisuele technieken en media
21,Audiovisuele technieken: film, TV en video
21,Audiovisuele technieken: fotografie
41,audit
52,Auditeur interne qualité, environnement et sécurité
41,AUDITORS
61,AUDOCAD BASIS
41,Ausbildung für Führungskräfte
41,Ausbildung zur professionellen Begleitung von Praktikanten
21,Auteur van kinderboeken
91,Autimse: een methodische benadering
91,Autisme-spectrum-stoornissen
71,Auto- expertise
71,Autoamtes programmables
71,Autobekleder
61,Autocad
61,Autocad - basis
61,AutoCAD - Formation de base
61,Autocad : initiation et perfectionnement
61,Autocad 23 : Bases
61,Autocad 2D
61,Autocad 2D : Bases
61,AUTOCAD 2D BASISCURSUS
61,Autocad base
61,Autocad basis
61,Autocad mechanical
61,AUTOCAD NIVEAU 1
61,Autocad perfectionnement
61,Autocad R2000
61,AutoCad-basis
61,Auto-CAD-modulair
100,Autocarchauffeur
61,Autodesk Revit Mep
61,Autodesk Softimage - Initiation
71,Autodiagnosetechnicus
61,Autokom - Module 1
61,Autokom - Module 2
61,Autokom - Module 3
61,AUTOKOM-MODULE1
61,AUTOKOM-MODULE2
71,Automate siemens S7Sys1+Sys2
71,Automates : exploitation-maintenance niveau 2
71,Automates : exploitation-maintenance niveau 3
71,Automates PLC5
71,Automates prgrammables perfectionnement
71,Automates programmables
71,Automates programmables : principe de base
71,Automates programmables Allen Bradley
71,Automates programmables Allen-Bradley - programmation de bases
71,Automates programmables perfectionnement (YAMAZAKI)
71,Automates programmables Siemens S5 - Connaissance de base
71,Automates programmables siemens S7
71,Automates programmables Siemens S7 - connaissance de base
71,Automates programmables Siemens S7 - perfectionnement
71,Automates programmables spécialisation
71,Automates programmables Télémécanique - maintenance de systèmes automatisés
71,Automatisation Engineer (Bedrijfsinterne opleiding bij WCA Alro)
71,Automechaniek
71,AUTOMOBIEL ASSEMBLAGE - 100 u
71,AUTOMOBIEL ASSEMBLAGE - 108 u
71,AUTOMOBIEL ASSEMBLAGE - 112 u
71,AUTOMOBIEL ASSEMBLAGE - 120 u
71,AUTOMOBIEL ASSEMBLAGE - 32 u
71,AUTOMOBIEL ASSEMBLAGE - 40 u
71,AUTOMOBIEL ASSEMBLAGE - 48 u
71,AUTOMOBIEL ASSEMBLAGE - 56 u
71,AUTOMOBIEL ASSEMBLAGE - 72 u
71,AUTOMOBIEL ASSEMBLAGE - 80 u
71,AUTOMOBIEL ASSEMBLAGE - 88 u
71,autotechniek
71,Autotechnologie
91,Auxiliaire en stérilisation
71,avionica
91,Avondopleiding Bachelor in de verpleegkunde, keuzetraject ziekenhuisverpleegkunde of psychiatrische verpleegkunde
101,avontuurlijke activiteiten
91,ayurvedische geneeskunde
72,B.02 Fabricatie van wanden voor houtskeletbouw
71,B.03 Insteller/bediener CNC Spanten Center
71,B.04 Insteller/bediener vingerlasmachine
71,B.05 Insteller/bediener lamellenlijmmachine
